name,address,website,contain_keyword,phone_number,reviews_count,reviews_average
PT. EIDO DIGITAL NUSANTARA,"Griya Upakara, Jl. Cikini IV No.10 Lantai 3 Unit 3A, RT.14/RW.5, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",,,,,
PT. Barifal Mega Fortuna,"Gedung Arva Lt.3 Jl. RP Soeroso No.40 BC, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",barftech.com,Yes,0812-2777-7195,,
Indorenus Megah Persada. PT,"Jl. Teuku Cik Ditiro No.56, RT.10/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",,No,(021) 31931446,1,5.0
PT Sirip Biru Teknologi,"Gedung Arva Cikini lt 3, Jalan Cikini Raya 60 FGMN, Desa, Cikini, Jakarta, Daerah Khusus Ibukota Jakarta 10310",,,0899-2282-517,,
Pundak Nusa Tektrona,"Jl. Cimandiri No.6 6, RT.6/RW.4, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",,,(021) 31907754,,
High End,"Jl. Menteng No.40 15, RT.15/RW.7, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",,,,24,4.5
Business,,,,0811-5441-233,,
Sofyan HIS,"Gedung Arva, Jl. RP. Soeroso No.40 BC Lantai 3, RT.2/RW.2, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",,,0813-8942-0409,,
Alma Busines Development,"Jl. Kudus No.18, RT.9/RW.6, Dukuh Atas, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",,,(021) 31934793,,
PT. Indo Trend Media Digital,"Gedung Arva, Jl. RP. Soeroso Lt4 No.40BC, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",,,0821-2510-8240,,
Company Profile - Representative Office,"Gedung BPPT 1, Jl. M.H. Thamrin No.8 Lt. 15, RT.10/RW.10, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",companyprofile.co.id,Yes,(021) 2015151,,
PT Mandala Hamonangan Sude,"Jl. Cisadane No.23 3, RT.3/RW.4, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",,,(021) 3928831,7,5.0
Graha Realty Kencana. PT,"Gedung Central Cikini Ground Floor, JL. Cikini Raya, 58-60DD, Jakarta, 10330, RT.1/RW.2, Cikini, Menteng, Central Jakarta City, Jakarta 10330",,,(021) 3151025,1,5.0
"Blue Steel Industries, Pt","Jl. Bandung No.17 13, RT.13/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",,,,4,3.5
PT Abang Adek Gemilang,"Gedung Arva, Cikini, Lt. 3, Jalan Cikini Raya. 60 FG-MN, RT.14/RW.5, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",,,(021) 3144794,,
MentengGrooveLabStudio,"Jl. Probolinggo No.RT.1, RT.1/RW.2, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",,,0857-1977-8717,,
PT SAINS SOLUSI GLOBAL,"Gedung Alfa Glory Perkasa, Jl. Pegangsaan Timur No.1 Lantai 4, RT.1/RW.1, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10320",,,(021) 31930020,8,4.4
PT Mitra Investindo Tbk,"Jl. Menteng Raya No.72, RT.4/RW.9, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",,No,(021) 5224508,2,5.0
Global Teknologi Enterprindo,"Jl. Panarukan No.9, RT.2/RW.5, Menteng, Jakarta, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",,,,,
Jalatama Inti Sistema,"Jl. Cikini Raya No.60, RT.14/RW.5, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",,,(021) 3919684,1,5.0
AZBIL Berca Indonesia,"lt. 5, 95 Menteng, Jalan Cikini Raya, Cikini, Jakarta Pusat, RT.10/RW.4, Cikini, DKI Jakarta, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",,No,(021) 2305538,78,4.8
PT. AM INDO TEK,"Jl. Cikini IV No.11 15, RT.15/RW.5, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",,No,(021) 31925711,,
Madani 65,"Gedung Arva, Jl. RP. Soeroso No.40BC, RT.2/RW.2, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta",,,0811-1956-9188,,
PT.Agung Graha Konstruksi,"Gedung Arva, Jl. Cikini Raya No.60 Lantai 3, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",,No,(021) 30620282,,
PT. Velosoft,"Jl. Ciliman No.6 Lantai 3, RT.6/RW.4, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",,,(021) 3913238,,
"Rinkai Nissan Construction Co., Ltd.","Jl. Cimandiri.6 Lt. 2, Room 3, RT.6/RW.4, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",,No,(021) 3922636,11,4.2
Buford,"The City Tower Level 12 - 1N Jalan MH Thamrin No. 81, Kec. Menteng, RT.1/RW.1, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",,,(021) 29601509,,
PCI Solusindo,"Jl. Teuku Cik Ditiro 1 nomer No.12, RT.1/RW.2, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",,,(021) 3914988,1,5.0
Naya Cikini,"Jl. Cikini Raya No.16, RT.16/RW.5, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",,,,,
会社,"Jl. M.H. Thamrin No.8 2, RT.2/RW.1, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",,,,,
Sylvaduta Corp,"RR5P+4CW, Jl. RP Suroso, RT.2/RW.2, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",,,(021) 31926087,,
PT.SIAP SUKSES SEJAHTERA,"Jl. Cikini Raya No.121 9, RT.9/RW.4, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",,,,2,4.5
Naya Menteng,"No.84-86, Jl. Cikini Raya No.14 10, RT.10/RW.5, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",,,,,
Dwinanda Putri. CV,"Jl. Cikini Raya No.24, RT.1/RW.2, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",,,(021) 31907280,,
Tamansari Parama Office,"K.H. Wahid Hasyim No.84-86 Menteng Kota Jakarta Pusat, Daerah usus Ibu, RT.3/RW.3, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",,,,308,4.5
MNC x Kolega Coworking Space,"Park Tower lt 10 - 11, MNC Center, Jl. Kb. Sirih Tim. Gg. 9 No.101 15, RT.15/RW.7, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",,,0857-7618-3329,24,4.8
Engenering Co,"Jl. Teuku Cik Ditiro No.11A, RT.8/RW.2, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",,,(021) 3102384,,
Primatech Computama Informatindo,"Jl. Teuku Cik Ditiro 1 No.12, RT.1/RW.2, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",,No,(021) 3914980,21,4.9
Ayam Nona Tjioe,"Jl. Ciasem No.12, RT.4/RW.4, Cikini, Kec. Menteng, jakarta, Daerah Khusus Ibukota Jakarta 10330",,,0813-1818-9812,13,4.6
king laundry,"Jl. Cisadane No.7, RT.2/RW.4, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",,No,0857-5057-9207,1,5.0
GoWork Plaza Indonesia - Coworking and Office Space,"Plaza Indonesia, Level 5 Unit E021AB, Jl. M.H. Thamrin No.Kav. 28-30, Daerah Khusus Ibukota Jakarta 10350",go-work.com,Yes,(021) 29922823,218,4.7
Foto Copy & Rest Menteng,"Jl. Menteng Raya No.42-B, RT.1/RW.10, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",,,(021) 31936605,2,4.0
Chaka Music Studio,"Jl. Cikini Raya No.43, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",,No,0858-8183-2305,6,5.0
Raja Peyek,"Jl. Cikini Kecil No.4, Cikini, Kec. Menteng, Jakarta, Daerah Khusus Ibukota Jakarta 10330",,No,0812-9718-1088,,
ke:kini ruang bersama,"Jalan Cikini Raya No 43 Cikini Menteng RT.16, RT.16/RW.1, Cikini, Menteng, Central Jakarta City, Jakarta 10330",,No,0816-713-600,343,4.5
LeHome Living,"Jl. Teuku Cik Ditiro No.16, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",,No,0858-9092-2020,1,5.0
MESIN PENDINGIN DAN SERVICE,"Jl. Cikini III No.80, RT.11/RW.5, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",,,0813-4964-1140,57,4.9
PT. Team Menteng Squads Tbk,"Jl. Irian No.3 6, 7, 7A, 8, 8A, RT.8/RW.5, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",,,(021) 5502300,,
Majoma,"Jl. Cimandiri No.1, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",,,0813-8255-7802,1,5.0
Toko Menteng Electric,"Jl. Prof Dr HM Yamin SH 19 Menteng Menteng Jakarta Pusat DKI Jakarta, RT.12/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",,,(021) 3152591,,
PT Tambora Semesta Nusantara,"Gedung Arva, Jl. RP. Soeroso No.40 Lt.1, RT.2/RW.2, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",,,(021) 3920918,,
PT. Hippenth Internasional,"Menara BCA Grand Indonesia, Jl. M.H. Thamrin No.1 1, RT.1/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",,,(021) 23584722,,
Indo-Ned Consultancy Jakarta,"Graha Mobilkom, Gedung, Jl. Raden Saleh Raya No.53 Lantai 1, RT.1/RW.4, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",indo-ned.com,Yes,0811-1099-396,5,5.0
Snack Enakk,"Jl. Teuku Cik Ditiro 1 No.3, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",,,0812-1976-7877,,
Neomed Store,"l, Jl. RP. Soeroso No.40, RT.2/RW.2, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",,,0821-1875-4596,,
